Soil Type,Sunlight (hours/day),Water Supply (liters/week),Temperature (C),pH Level,Plant Species,Thrives
Sandy,1.54,8.94,11.35,8.23,Fern,0
Sandy,2.67,36.45,,8.4,Rose,0
Sandy,9.27,8.15,24.98,7.23,Cactus,1
Loamy,5.45,26.95,9.05,8.42,,0
Loamy,8.19,21.08,21.62,6.96,Rose,1
Sandy,10.29,7.75,27.17,6.76,Cactus,1
Loamy,9.66,18.38,25.87,6.84,Rose,1
Loamy,8.01,16.87,22.49,7.04,Rose,1
Clay,5.12,1.92,37.39,8.5,Cactus,0
Loamy,5.64,27.03,21.56,5.52,Fern,1
Sandy,1.28,37.71,7.35,8.19,,0
Sandy,11.09,8.68,30.81,7.71,Cactus,1
Loamy,7.1,16.05,20.61,7.07,Rose,1
Sandy,,7.63,6.28,4.65,Rose,0
Clay,5.41,20.15,18.83,6.95,Fern,1
Sandy,1.0,36.33,38.17,4.73,Fern,0
Clay,5.49,22.22,20.69,,Fern,1
Loamy,10.24,24.6,24.33,6.7,Rose,1
Sandy,11.53,7.34,35.02,7.9,Fern,0
Sandy,11.28,6.56,31.16,6.86,Cactus,1
Sandy,1.27,4.64,36.22,4.62,Fern,0
Sandy,12.74,1.0,30.92,8.36,Rose,0
Loamy,9.59,15.67,19.5,6.21,Rose,1
Loamy,6.92,23.83,22.24,6.32,Rose,1
Loamy,4.73,27.34,15.89,5.91,Fern,1
Sandy,11.89,6.85,29.39,,Cactus,1
Loamy,5.81,19.01,19.98,6.71,Fern,1
Sandy,1.33,37.89,7.99,8.5,Fern,0
,4.47,27.54,21.06,5.74,Fern,1
Clay,4.12,19.55,18.03,6.36,,1
Loamy,13.73,15.62,5.77,8.5,Cactus,0
Clay,2.91,36.98,19.58,5.2,Cactus,0
Loamy,13.94,1.55,20.22,4.98,Cactus,0
Sandy,1.52,7.04,6.19,8.31,Rose,0
Sandy,12.69,4.83,30.59,4.61,Fern,0
Sandy,1.0,5.9,5.48,8.18,Fern,0
Clay,14.0,1.35,37.8,4.65,Cactus,0
Clay,4.41,26.57,19.71,6.4,Fern,1
Loamy,6.65,15.18,24.6,7.45,Rose,1
,8.78,9.39,27.36,6.84,Cactus,1
Loamy,14.0,23.55,36.83,8.41,Cactus,0
Clay,13.42,32.85,11.7,8.39,Rose,0
Loamy,9.95,17.83,18.91,6.93,Rose,1
Loamy,6.73,16.19,21.23,6.79,Rose,1
Clay,1.95,7.64,,8.48,Rose,0
Loamy,9.26,18.87,,6.26,Rose,1
Clay,4.19,16.74,21.11,5.8,Fern,1
Loamy,8.76,23.77,,7.04,Rose,1
Sandy,9.61,6.83,26.6,7.29,Cactus,1
,5.31,,22.52,5.75,Fern,1
Sandy,10.31,39.6,7.81,4.54,Fern,0
Clay,,6.83,34.39,8.44,Rose,0
Clay,5.16,34.77,6.21,8.5,Cactus,0
Sandy,10.9,7.04,28.31,6.92,Cactus,1
Sandy,11.91,37.47,35.34,8.17,Fern,0
Sandy,10.5,38.43,5.98,8.11,Fern,0
Clay,5.11,23.1,15.27,5.55,Fern,1
Clay,2.54,5.92,39.85,8.35,Rose,0
Clay,3.45,35.06,30.65,5.07,,0
Sandy,10.94,7.37,30.56,8.27,,0
Loamy,9.39,23.22,19.35,6.6,Rose,1
Clay,3.37,6.41,13.48,8.32,Rose,0
Clay,,27.79,16.5,5.64,Fern,1
Sandy,2.56,5.83,38.14,5.11,Rose,0
Sandy,10.22,7.72,,7.13,Cactus,1
Sandy,3.24,38.58,12.94,,Rose,0
Clay,13.95,1.96,38.33,5.15,Cactus,0
Clay,2.57,18.92,37.17,4.81,Cactus,0
Sandy,13.28,40.0,9.71,4.91,Rose,0
Sandy,3.58,4.45,,5.0,Rose,0
Loamy,1.49,31.44,15.8,8.5,Cactus,0
Clay,4.72,36.06,5.0,8.48,Cactus,0
Clay,13.18,34.29,39.94,4.95,Rose,0
Loamy,14.0,1.32,11.63,8.5,Cactus,0
Loamy,8.12,16.7,22.79,7.35,Rose,1
Sandy,10.49,5.41,31.47,7.64,,1
Sandy,2.21,8.95,34.25,5.14,Rose,0
Sandy,,33.9,32.08,4.7,Rose,0
Clay,5.23,17.04,18.98,5.99,Fern,1
Loamy,8.71,17.45,20.53,6.79,Rose,1
Loamy,2.97,1.0,36.78,5.13,Cactus,0
Loamy,,14.89,23.94,7.1,Rose,1
Loamy,7.05,23.11,22.09,7.04,Rose,1
Clay,5.44,28.06,15.67,6.86,Fern,1
Clay,4.12,28.54,,,Fern,1
Sandy,1.37,40.0,33.77,8.48,Rose,0
Clay,4.8,23.96,15.47,6.41,Fern,1
Loamy,14.0,30.77,6.25,4.98,Cactus,0
Loamy,1.86,28.04,7.17,8.5,Cactus,0
Clay,3.72,16.04,20.81,6.37,Fern,1
Loamy,3.83,34.99,7.2,8.45,Cactus,0
Loamy,2.72,25.21,13.99,8.5,Cactus,0
Sandy,10.17,,,7.98,Fern,0
Sandy,1.63,35.41,33.89,8.43,Fern,0
Sandy,10.88,9.09,28.78,,Cactus,1
Clay,3.91,26.23,20.76,5.58,Fern,1
Clay,5.31,17.74,17.84,5.99,Fern,1
,4.94,16.5,18.35,6.1,Fern,1
Clay,,33.18,40.0,5.73,Cactus,0
Sandy,10.73,4.97,24.55,6.74,Cactus,1
Clay,3.37,4.23,6.0,8.21,Rose,0
,1.43,38.58,8.45,4.56,Fern,0
Loamy,4.99,28.07,20.21,5.67,Fern,1
Sandy,1.0,37.78,39.55,,Fern,0
Sandy,12.59,5.71,7.24,4.52,,0
Sandy,10.0,6.45,28.61,6.93,Cactus,1
Clay,13.89,2.04,39.63,8.5,,0
Sandy,1.76,5.07,38.9,4.65,Rose,0
Clay,4.48,18.03,20.58,6.49,Fern,1
Loamy,9.33,18.69,18.64,6.29,Rose,1
Sandy,9.06,8.21,30.71,6.7,Cactus,1
Loamy,7.87,18.0,21.15,7.3,Rose,1
Loamy,9.08,25.55,23.03,,Rose,1
Sandy,1.21,6.93,28.65,7.82,Fern,0
Sandy,1.0,7.52,10.5,8.16,Fern,0
Sandy,1.03,5.96,31.68,7.91,Fern,0
Sandy,1.65,8.05,29.14,8.24,Fern,0
Clay,13.39,3.34,7.2,8.4,Rose,0
Sandy,10.71,7.29,25.65,7.08,Cactus,1
Clay,3.79,19.65,15.47,6.53,Fern,1
Clay,5.67,30.67,6.79,8.47,Cactus,0
Loamy,13.91,1.0,39.72,8.46,Cactus,0
Sandy,3.03,38.5,33.44,4.82,Rose,0
Sandy,9.91,8.16,,7.68,Cactus,1
Clay,2.47,8.18,7.99,8.45,Rose,0
Sandy,9.04,6.59,11.31,4.56,Fern,0
Clay,13.97,1.05,13.62,4.53,Cactus,0
Clay,4.23,24.81,19.79,6.37,Fern,1
Loamy,7.91,21.54,24.38,6.72,Rose,1
Loamy,,18.9,23.54,7.33,Rose,1
Loamy,8.3,15.3,22.65,6.3,,1
Sandy,1.0,37.98,5.11,7.96,Fern,0
Clay,,18.1,24.01,5.87,Fern,1
Clay,5.44,,23.66,5.79,Fern,1
Loamy,8.9,19.21,18.93,6.94,Rose,1
Clay,5.74,20.15,18.17,6.45,Fern,1
Loamy,7.16,22.9,18.79,6.13,Rose,1
Sandy,9.82,7.68,25.27,7.55,Cactus,1
Sandy,11.21,8.42,25.72,7.03,Cactus,1
Loamy,4.65,19.88,36.31,4.84,Cactus,0
Sandy,9.4,7.45,31.39,,Cactus,1
Clay,12.69,37.11,12.54,4.89,Rose,0
Sandy,2.46,35.44,39.04,4.92,Rose,0
Sandy,8.61,8.34,37.91,4.68,Fern,0
Sandy,11.42,8.25,31.3,6.82,Cactus,1
Clay,5.3,22.26,21.01,6.16,Fern,1
Sandy,10.61,8.83,31.42,7.11,Cactus,1
Loamy,,19.13,20.43,7.44,Rose,1
Sandy,1.53,36.87,38.59,8.02,,0
Sandy,10.44,8.86,28.9,,Cactus,1
Clay,4.52,28.39,,4.92,Cactus,0
Clay,13.52,5.27,34.58,8.5,Rose,0
Sandy,1.09,39.28,6.92,4.59,Fern,0
Sandy,8.45,8.8,28.5,7.27,Cactus,1
Sandy,1.05,9.16,31.47,8.46,Fern,0
Clay,1.8,39.42,,4.59,Rose,0
Sandy,12.32,2.62,29.89,8.08,Fern,0
Sandy,8.53,8.49,28.03,6.66,Cactus,1
Loamy,7.49,19.68,20.38,6.13,Rose,1
Loamy,6.49,21.04,19.6,6.49,Rose,1
Sandy,8.39,6.22,28.93,6.61,Cactus,1
Loamy,4.41,33.47,39.01,4.87,Cactus,0
Sandy,1.0,37.47,37.61,,Fern,0
Loamy,9.04,21.39,18.02,6.26,Rose,1
Sandy,9.7,9.56,28.13,7.19,Cactus,1
Loamy,9.51,19.8,24.46,6.35,Rose,1
Clay,,35.1,38.73,8.5,Cactus,0
Sandy,9.63,6.41,25.21,7.15,Cactus,1
Sandy,9.15,5.45,26.31,7.52,Cactus,1
Sandy,14.0,36.83,33.48,8.44,Rose,0
Sandy,1.38,39.11,34.5,7.88,Fern,0
Clay,5.04,25.04,21.84,5.97,Fern,1
Clay,3.93,35.26,38.2,5.51,Cactus,0
Loamy,6.05,16.73,24.63,,Rose,1
Clay,13.53,37.38,5.73,4.99,Rose,0
Loamy,8.97,15.88,24.66,7.43,Rose,1
Clay,13.77,29.9,16.46,5.37,Cactus,0
Sandy,9.32,4.53,30.36,6.64,Cactus,1
Sandy,9.86,6.22,25.3,,Cactus,1
Loamy,14.0,1.0,17.23,5.64,Cactus,0
Sandy,1.36,5.97,5.02,7.96,Fern,0
Sandy,1.15,1.35,7.17,7.84,Fern,0
Clay,5.52,26.65,17.67,5.99,Fern,1
Loamy,4.44,,37.0,5.43,Cactus,0
Sandy,11.03,3.84,28.22,7.1,Cactus,1
Sandy,8.34,,27.96,7.23,Cactus,1
Clay,,1.0,17.52,,Cactus,0
Sandy,2.02,6.96,33.24,4.98,Rose,0
Loamy,9.18,21.74,23.23,6.82,Rose,1
Sandy,,4.23,35.22,4.64,Fern,0
Clay,5.62,17.08,23.51,6.38,Fern,1
Loamy,9.48,16.33,18.79,7.37,Rose,1
Clay,4.84,1.0,5.39,5.48,Cactus,0
Clay,12.35,5.27,5.49,8.5,Rose,0
Sandy,1.31,38.61,9.6,8.4,Fern,0
Sandy,12.59,3.36,8.39,8.4,Rose,0
Clay,5.53,16.61,18.87,5.87,Fern,1
Sandy,8.72,9.14,25.84,6.92,Cactus,1
Clay,2.49,32.5,37.5,4.98,,0
Clay,4.15,24.36,18.21,6.54,Fern,1
